id,url,source,app_name,name,version,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates
61,https://decidim.coterrats.com,,Decidim Barcelona Organizations,Decidim Coterrats,0.23.5,30,0,1,0,34,3,1,0,2,36,12,89,2,0,0,1
62,https://forum.transformadora.org,,Decidim Barcelona Organizations,FSMET 2020,0.23.5,7529,0,47,167,52464,4,47,331,227,97,21,952,77,369,0,0
63,https://decidim.tjussana.cat,,Decidim Barcelona Organizations,Decidim Torre Jussana,0.23.5,101,0,0,0,198,0,1,2,0,1,0,0,0,0,0,0
64,https://participons.debatpublic.fr,https://github.com/OpenSourcePolitics/decidim-cndp,CNDP - plateforme participative,Commission nationale du débat public,0.18.0,2154,1,1,3876,3379,12,0,3565,0,26,0,0,3,1,0,0
65,https://participa.ateneus.cat,,Decidim Barcelona Organizations,Participa AteneusCAT,0.23.5,350,0,0,0,515,4,0,102,10,0,0,0,0,0,0,73
66,https://participa.leconomat.queviure.cat,,Decidim Barcelona Organizations,Decidim ECONOMAT SOCIAL,0.23.5,71,0,4,0,479,0,5,12,4,0,0,0,0,0,0,0
67,https://medborgarbudget.lundby.goteborg.se,https://github.com/digidemlab/decidim-sweden/tree/install-lundby,decidim-lundby,Din idé,0.24.1,448,1,0,10,809,1,0,14,0,81,63,0,17,0,7,0
68,https://dialog.bostadsbolaget.se,https://github.com/digidemlab/decidim-sweden/tree/install-bb,decidim-bb,Bostadsbolaget,0.24.1,46,0,0,10,115,1,0,17,9,73,0,0,12,0,0,0
69,https://dialog.sigtuna.se,https://github.com/digidemlab/decidim-sweden/tree/install-sigtuna,decidim-sigtuna,Sigtuna,0.24.0.dev,65,1,0,0,131,1,0,0,1,7,0,0,0,0,0,0
70,https://meta.decidim.org,https://github.com/decidim/metadecidim,Metadecidim,Decidim,0.24.3,4149,4,14,3264,6964,9,15,4048,252,1504,644,1738,1820,221,7,4
71,https://democratie.brussels,,bosa,democratie.brussels,0.22.0,617,0,3,0,637,0,3,0,1,0,0,15,0,0,0,0
72,https://jeparticipe.impactons.debatpublic.fr,,CNDP - plateforme participative,imPACtons - Le débat public sur l’agriculture,0.18.0,8340,0,0,2403,13114,9,0,2176,0,107,0,0,12008,74130,0,0
73,https://jeparticipe.toulouse.fr,https://github.com/OpenSourcePolitics/decidim-tou,OSP Agora,Je participe !,0.23.6,2261,22,59,0,6263,41,60,3,46,1439,148,1936,2412,2040,14,1
74,https://plateforme-cooperative-cnrlapepiniere.gapas.org,,OSP Agora,Plateforme collaborative du CNRHR La Pépinière,0.23.1,229,0,3,0,475,3,3,118,8,123,0,0,9,8,0,0
75,https://laparoleestavous.printempsmarseillais.fr,,Printemps marseillais,Printemps marseillais,0.18.0,436,0,1,156,0,0,0,0,0,0,0,0,0,0,0,0
76,https://participer.aptic.club,,OSP Agora,Plateforme de co-design de #APTIC,0.18.0,138,0,1,0,481,0,4,74,0,682,0,0,0,0,0,0
77,https://ravier-amboise2020.fr,,OSP Agora,Brice Ravier | Amboise 2020,0.18.0,73,0,0,36,108,6,0,173,17,55,0,2,74,0,165,24
78,https://agorasso.codefor.fr,,OSP Agora,Agorasso,0.18.0,356,1,16,111,608,10,17,354,13,246,0,298,106,2149,11,3
79,https://fabriquecitoyenne.reveillonsannecy.fr,,OSP Agora,La Fabrique Citoyenne Réveillons Annecy !,0.18.0,165,0,0,303,230,10,0,303,0,199,0,37,862,0,0,0
80,https://smart-isula.corsica,,OSP Agora,Smart Isula,0.18.0,42,0,0,6,27,0,1,0,6,0,0,0,0,0,0,0
81,https://participation.touraine.fr,https://github.com/OpenSourcePolitics/decidim-cd37,OSP Agora,CD37,0.18.0,6080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,https://patly.org,https://github.com/OpenSourcePolitics/decidim-patly,OSP Agora,"PATLY  : Vers un système alimentaire plus durable, inclusif et résilient.",0.18.0,150,0,13,1,203,4,13,8,21,27,0,35,0,0,0,0
83,https://participer.valdemarne.fr,https://github.com/OpenSourcePolitics/decidim-cd94,participer.valdemarne.fr,Participation citoyenne Val-de-Marne,0.22.0,2822,2,1,215,4601,4,2,240,5,612,290,0,46,32,51,4
84,https://conseilcitoyen.rillieuxlapape.fr,,OSP Agora,Rillieux-la-Pape,0.22.0,171,0,4,0,271,2,4,0,0,6,0,2,0,12907,512,0
85,https://lafabrique.grenobleencommun.fr,,OSP Agora,Grenoble en commun - La Fabrique,0.18.0,211,0,1,179,270,0,1,181,9,711,0,0,1,0,0,0
86,https://vision-campus.decathlon.fr,https://github.com/OpenSourcePolitics/osp-app/tree/alt/decathlon,OSP Agora,Vision Campus Villeneuve d'Ascq,0.16.1,1495,0,0,140,10,1,0,2,3,0,0,0,0,0,0,0
87,https://budgetparticipatif.saintjeandebraye.fr,https://github.com/OpenSourcePolitics/osp-app/tree/alt/sjdb,Saint-Jean de Braye,Budget participatif de Saint-Jean de Braye,0.18.0,1172,0,2,98,1574,2,0,337,21,77,34,23,4,0,13,0
88,https://budget-participatif.rivp.fr,https://github.com/OpenSourcePolitics/osp-app/tree/alt/rivp,Budget participatif RIVP,Budget Participatif RIVP,0.16.1,306,4,0,37,0,0,0,0,0,0,0,0,0,0,0,0
89,https://atelierdevosidees.loiret.fr,https://github.com/OpenSourcePolitics/osp-app/tree/alt/loiret,Département du Loiret,L'atelier de vos idées,0.22.0,3188,2,0,307,7879,9,0,301,0,296,114,6,430,2178,46,0
90,https://participez.villeurbanne.fr,https://github.com/OpenSourcePolitics/osp-app/tree/alt/villeurbanne,OSP Agora,Participez à Villeurbanne,0.22.0,2059,4,0,530,3304,6,0,882,17,465,81,70,1675,12653,0,0
91,https://asukasbudjetti.turku.fi,https://github.com/City-of-Turku/decidim,Turku Asukasbudjetti,Turku Asukasbudjetti,0.24.3,6066,1,0,370,6289,1,0,375,0,341,238,621,3,0,52,0
92,https://club.decidim.opensourcepolitics.eu,,Club utilisateurs de Decidim,Club des utilisateurs francophones de Decidim,0.18.0,329,0,8,78,131,2,4,66,10,98,6,14,65,0,0,4
93,https://staging.decidim.codegram.com,,Decidim Codegram Staging,Windler-Pfannerstill,0.26.0.dev,246,1,4,140,250,1,4,1005,56,65,8,40,28,0,288,4
94,https://decidim.barcelonaenergia.cat,,Decidim BarcelonaEnergia,Consell de persones usuàries de Barcelona Energia,0.23.6,278,0,2,25,446,2,2,34,3,110,0,3,7,150,0,0
96,https://www.decidimmataro.cat,https://github.com/AjuntamentDeMataro/decidimmataro.cat,Decidim Mataró,Decidim Mataró,0.21.0,5574,3,25,166,0,0,0,0,0,0,0,0,0,0,0,0
97,https://participa.salou.cat,,Decidim Salou,Salou Participa,0.18.0,514,0,1,121,978,1,1,121,0,195,28,1219,0,665,0,0
